B434 Sym.
B434 Wit.
B434.A5 Ari.
B434.A5 Ari.
B438.A5 Ari.
B441 Bro.
B441 Bro.
B481 Bar.
B481 Nat.
B485 Ack.
B485 Ack.
B485 Ari.
B485 Art.
B485 Bar.
B485 Cam.
B485 Cam.
B485 Com.
B485 Dud.
B485 Gre.
B485 Irw.
B485 Irw.
B485 Kin.
B485 Mor.
B485 Mos.
B485 Oxf.
B49 Com.
B491.A3 Cha.
B491.E7 Bar.
B491.E7 Bro.
B491.E7 Bro.
B491.E7 Mey.
B491.E7 Mey.
B491.E7 She.
B491.E7 Wal.
B491.E7 Wal.
B491.I55 Bur.
B491.M3 Gil.
B491.M37 Kin.
B491.M4 Uni.
B491.M5 Sym.
B491.R44 Cas.
B491.S8 Har.
B495.O5 Ari.
B495.O5 Ari.
B5010 Cla.
B505 Fre.
B505 Fro.
B505 Hel.
B505 Lon.
B505 Lon.
B505 Lon.
B505 Nus.
B505 Phi.
B505 Sha.
B51.4 Wha.
B512 Cam.
B512 Wil.
B52.7 Vau.
B52.7 Vau.
B5233.C6 Ang.
B5241 Sou.
B5243.K6 Nos.
B5243.N4 Con.
B525 Cam.
B525 Ori.
B528 Cam.
B528 Dys.
B528 Lon.
B528 Rey.
B53 Dal.
B53 Dal.
B53 Noz.
B53 Wil.
B5305 Afr.
B5310 Mud.
B5310 Mud.
B5315.K56 Afr.
B535.A63 Ale.
B535.A63 Ale.
B535.A63 Ale.
B535.A63 Ale.
B553 Cic.
B553 Mack.
B5704 Pri.
B571.O52 Epi.
B573 Eng.
B577.G24 Gal.
B577.G24 Mat.
B577.H42 Ram.
B577.L63 Seg.
B577.L64 Min.
B583 Had.
B61 Hac.
B613 Tho.
B615 Sen.
B618 Gri.
B618 Inw.
B618 Sen.
B618 Sen.
B620 Sex.
B621.O883 Per.
B63 Tay.
B659.Z7 Com.
B68 Rhe.
B689.Z7 Nie.
B689.Z7 Sch.
B693.E53 Plo.
B693.E6 Ome.
B693.Z7 Blu.
B693.Z7 Cam.
B693.Z7 Eyj.
B693.Z7 Eyj.
B693.Z7 Ger.
B72 Pap.
B721 Lau.
B741 His.
B749.Z7 Ave.
B765.A84 Mut.
B765.T54 Cam.
B765.T54 Cop.
B765.T54 Stu.
B765.T54 Stu.
B77 Del.
B775 Cop.
B776.I8 Bro.
B778 Ren.
B783.D48 Bru.
B783.Z7 Ver.
B785.C24 Hea.
B785.F43 Fic.
B785.F43 Fic.
B785.L33 Ebr.
B785.L33 Leo.
B785.M24 Ben.
B785.M74 Dot.
B785.P52 Pic.
B791 Gil.
B791 Wil.
B801 Cen.
B801 Loe.
B801 Loe.
B801 Ris.
B801 Wom.
B802 Atl.
B802 Cam.
B802 Ede.
B802 Ede.
B802 Gay.
B802 Gay.
B802 Him.
B802 Imh.
B802 Mun.
B802 Out.
B802 Out.
B802 Out.
B802 Rob.
B802 Wit.
B802.I87 Isr.
B803 Pip.
B803 Pip.
B804 Ber.
B804 Con.
B804 Esp.
B804 Oxf.
B804 Rou.
B804 Sar.
B808.5 Ana.
B808.5 Ana.
B808.5 Cla.
B808.5 Gri.
B808.5 Gri.
B808.5 Out.
B808.5 Wai.
B808.9 Hur.
B808.9 Hur.
B808.9 Lyc.
B808.9 Sea.
B808.9 Tye.
B809.2 Bow.
B809.2 Bri.
B809.3 Rec.
B809.8 Lef.
B809.8 Lun.
B809.8 Vol.
B812 Cas.
B815 Thi.
B816 Hol.
B816 Sky.
B819 Bas.
B819 Fre.
B819 Sar.
B819 Sar.
B819 Sar.
B819 Sar.
B821 Wol.
B823 Tra.
B823.3 Alt.
B823.3 Eag.
B823.3 Ziz.
B824 Esp.
B824 Esp.
B824 Mor.
B824.2 Els.
B824.E873 Dal.
B825 Sto.
B828.2 Fur.
B828.25 Aga.
B828.2Lin.
B828.36 Ord.
B828.45 Dis.
B828.45 Mer.
B828.45 Noe.
B828.45 Per.
B828.45 Ser.
B828.45 Vis.
B829 Die.
B829.5 Gal.
B829.5 Ku.
B831.2 Cam.
B831.2 Eag.
B831.2 Mal.
B831.2 Pos.
B831.3 Int.
B831.3 Pra.
B833 Bra.
B833 Bra.
B833 Phe.
B833 Phe.
B833 Rat.
B835 Aft.
B835 Put.
B835 Sta.
B837 Bru.
B837 Oxf.
B837 Sce.
B837 Ske.
B837 Str.
B840 Cof.
B840 Kal.
B840 Kal.
B840 Macd.
B840 Mea.
B840 Min.
B840 Qui.
B840 Qui.
B840 Rul.
B841.4 Str.
B842 Gly.
B842 Zim.
B843 Macl.
B843 Sma.
B843 Uti.
B843 Uti.
B945. H451 Hem.
B945.A694 Han.
B945.A694 Han.
B945.C274 Sta.
B945.D41 Dew.
B945.J23 Jam.
B945.K794 Ahm.
B945.K794 Bur.
B945.K794 Hug.
B945.L455 Rea.
B945.P874 Hil.
B945.R524 Ror.
BC108 Hod.
BC108 Ste.
BC128 Jef.
BC135 Fre.
BC135 Fre.
BC135 Qui.
BC135.W52 Mou.
BC141 Gil.
BC141 Gil.
BC141 Hac.
BC177 Raf.
BC177 Rea.
BC199.C56 Ben.
BC199.C66 Lew.
BC199.D4 Def.
BC199.F5 Tho.
BC199.I4 Ide.
BC199.L6 Bos.
BC199.M6 Gir.
BC199.M6 Gir.
BC199.M6 Pos.
BC199.P2 Cla.
BC199.P2 Cla.
BC199.P2 Coo.
BC199.P2 Sai.
BC199.P2 Sai.
BC199.P2 Sor.
BC199.P2 Sor.
BC199.P7 Con.
BC199.P7 Con.
BC50 Sid.
BC51 Dum.
BC57 Kam.
BC57 Kam.
BC6 But.
BC71 Bar.
BC71 Hal.
BC71 Qui.
BC71 Rea.
BD100 Ari.
BD111 Bir.
BD111 Car.
BD111 Cha.
BD111 Com.
BD111 Fem.
BD111 Gar.
BD111 Gar.
BD111 Gar.
BD111 Lew.
BD111 Low.
BD111 Low.
BD111 Met.
BD111 Met.
BD111 Met.
BD111 Met.
BD111 Moo.
BD111 Ney.
BD111 Ney.
BD111 Oxf.
BD111 Rou.
BD111 Smi.
BD111 Spr.
BD111 Tay.
BD161 Ach.
BD161 Bla.
BD161 Bro.
BD161 Com.
BD161 Con.
BD161 Con.
BD161 Con.
BD161 Dan.
BD161 Dan.
BD161 Dre.
BD161 Epi.
BD161 Epi.
BD161 Epi.
BD161 Epi.
BD161 Epi.
BD161 Eve.
BD161 Eve.
BD161 Fan.
BD161 Fan.
BD161 Ger.
BD161 Kno.
BD161 Kno.
BD161 Kno.
BD161 Lem.
BD161 Lem.
BD161 Macg.
BD161 Macg.
BD161 Nag.
BD161 New.
BD161 Oxf.
BD161 Oxf.
BD161 Pri.
BD161 Pri.
BD161 Pri.
BD161 Pri.
BD161 Pri.
BD161 Rou.
BD161 Rou.
BD161 Sta.
BD161 Wil.
BD161 Wil.
BD162 Lyo.
BD162 Lyo.
BD171 Nat.
BD171 Oco.
BD171 Put.
BD171 Smi.
BD171 Smi.
BD175 Blo.
BD175 Bol.
BD175 Bur.
BD175 Bur.
BD175 Hac.
BD175 Hal.
BD175 Kus.
BD175 Lac.
BD175 Lon.
BD175 Pot.
BD175 Pow.
BD175 Ree.
BD175 Rul.
BD176 Fri.
BD176 Sos.
BD181 Que.
BD181.7 Der.
BD181.7 Huy.
BD181.7 Mar.
BD181.7 Mem.
BD201 Haz.
BD201 Wil.
BD21 Bon.
BD21 Jus.
BD21 Mec.
BD21 Nor.
BD21 Phi.
BD21 Phi.
BD21 Ror.
BD21 Ros.
BD21 Ros.
BD21 Row.
BD21 Rus.
BD212 Bon.
BD214 Jut.
BD214 Smi.
BD220 Das.
BD220 Ret.
BD221 Bag.
BD221 Car.
BD221 Com.
BD221 Pro.
BD221 Rel.
BD232 Gri.
BD232 Kva.
BD232 Tan.
BD232 Tan.
BD236 Bau.
BD236 Inc.
BD236 Tay.
BD237 Exp.
BD241 How.
BD241 Ric.
BD241 Ric.
BD312 Nan.
BD331 Per.
BD331 Per.
BD331 Sem.
BD331 Sem.
BD362 Gam.
BD372 Mes.
BD373 Byn.
BD373 Gel.
BD394 Apf.
BD41 Rad.
BD417 Kri.
BD417 Kri.
BD418.3 Arg.
BD418.3 Ber.
BD418.3 Bra.
BD418.3 Bra.
BD418.3 Bur.
BD418.3 Bur.
BD418.3 Cla.
BD418.3 Cla.
BD418.3 Con.
BD418.3 Con.
BD418.3 Cra.
BD418.3 Cra.
BD418.3 Cra.
BD418.3 Cra.
BD418.3 Cra.
BD418.3 Cur.
BD418.3 Ext.
BD418.3 Ext.
BD418.3 Hei.
BD418.3 Hei.
BD418.3 Kim.
BD418.3 Kim.
BD418.3 Kim.
BD418.3 Kim.
BD418.3 Kim.
BD418.3 Low.
BD418.3 Low.
BD418.3 Men.
BD418.3 Mey.
BD418.3 New.
BD418.3 Nic.
BD418.3 Obj.
BD418.3 Oxf.
BD418.3 Oxf.
BD418.3 Phi.
BD418.3 Phi.
BD418.3 Phi.
BD418.3 Phi.
BD418.3 Pri.
BD418.3 Rav.
BD418.3 Sha.
BD418.3 Sha.
BD418.3 Whe.
BD418.3 Wol.
BD431 Cam.
BD431 Eve.
BD431 Fle.
BD431 Gra.
BD431 Ham.
BD431 Kaz.
BD431 Rou.
BD431 Wol.
BD435 Pro.
BD436 Ara.
BD438 Mor.
BD438 Mor.
BD438.5 But.
BD438.5 Car.
BD438.5 Oxf.
BD438.5 Sor.
BD444 Ari.
BD444 Bra.
BD444 Spe.
BD450 Age.
BD450 Aug.
BD450 Bat.
BD450 Bra.
BD450 Chi.
BD450 Emb.
BD450 Kno.
BD450 Mel.
BD450 Psy.
BD450 Sei.
BD450 Wil.
BD495.5 Sim.
BD541 Cau.
BD541 Cau.
BD541 Cau.
BD541 Cau.
BD560 Con.
BD581 Cas.
BD581 Fur.
BD581 Lan.
BD591 Cau.
BD591 Psi.
BD591 Psi.
BD621 Lef.
BD632 Dai.
BD632 Dai.
BD632 Lep.
BD638 Mel.
BD638 Phi.
BD638 Sor.
BD638 Tim.
BD638 Tur.
BD646 Mat.
BD655 Lew.
BD95 Con.
BD95 Rea.
BD95 Rea.
BF 698 Eys.
BF1021 Psi.
BF1031 Fou.
BF1031 Irw.
BF1045.A48 Alt.
BF1045.C7 Mil.
BF1078 Mit.
BF108.J3 Jap.
BF109.F74 Fre.
BF109.J8 Cla.
BF109.J8 Cla.
BF109.K57 Hin.
BF109.S8 Eva.
BF109.S8 Eva.
BF121 Atk.
BF121 Bro.
BF121 Car.
BF121 Gle.
BF121 Gle.
BF121 Gro.
BF121 Gro.
BF121 Hay.
BF121 Mar.
BF121 Ros.
BF121 Sch.
BF121 Sch.
BF1242.R9 Vin.
BF1242.Z55 Lan.
BF1321 Six.
BF1408.G68 Wil.
BF1411 Bar.
BF1421 Dod.
BF1429 Occ.
BF1429 Shu.
BF1434.S3 Hun.
BF1461 Fin.
BF1461 Fin.
BF149 Mau.
BF1517.F5 Wal.
BF1555 Wor.
BF1558 Cur.
BF1565 Ear.
BF1566 Dam.
BF1566 Dam.
BF1566 Gas.
BF1566 New.
BF1566 Pal.
BF1566 Pal.
BF1566 Rus.
BF1566 Wit.
BF1566 Wit.
BF1566 Wit.
BF1566 Wit.
BF1566 Wit.
BF1566 Wit.
BF1566 Wit.
BF1566 Wit.
BF1569 Bai.
BF1569 Bro.
BF1569 Bro.
BF1569 Coh.
BF1569 Mal.
BF1571 Lev.
BF1571 Lev.
BF1571 Lev.
BF1571 Lev.
BF1571 Lev.
BF1571 Lev.
BF1571 Oxf.
BF1571 Oxf.
BF1571 Pur.
BF1571 Tre.
BF1571 Tre.
BF1572.S28 Gin.
BF1572.S4 Ste.
BF1572.S4 Ste.
BF1572.S4 Wit.
BF1576 Boy.
BF1581 Lar.
BF1581 Luh.
BF1581 Sco.
BF1581 Sco.
BF1581 Sha.
BF1581 Sha.
BF1581 Wil.
BF1581 Wit.
BF1581.A2 Dav.
BF1582 Fav.
BF1582 Fav.
BF1582 Mon.
BF1583 Rop.
BF1583 Rop.
BF1583.A2 Spe.
BF1584.E85 App.
BF1584.E85 Bax.
BF1584.E85 Lan.
BF1584.E85 Max.
BF1584.E85 Max.
BF1584.E85 Wai.
BF1584.E9 Ank.
BF1584.E9 Bev.
BF1584.E9 Bri.
BF1584.E9 Bri.
BF1584.E9 Cla.
BF1584.E9 Cla.
BF1584.E9 Cla.
BF1584.E9 Coh.
BF1584.E9 Coh.
BF1584.E9 Ear.
BF1584.E9 Goo.
BF1584.E9 Sca.
BF1584.E9 Wit.
BF1584.I8 Dun.
BF1584.R9 Kiv.
BF1584.S5 Sha.
BF1591 Mag.
BF1593 Cam.
BF1593 Cam.
BF1593 Kie.
BF1593 Kie.
BF1593 Kie.
BF1593 Law.
BF161 Bod.
BF161 Com.
BF161 Emb.
BF161 Gal.
BF161 Psy.
BF161 Sea.
BF161.R4 Ste.
BF1621 Dav.
BF1671 Cam.
BF1676 Ast.
BF1679.8.L56 Gen.
BF1680 Fic.
BF171 Min.
BF171 Min.
BF171 Min.
BF171 Min.
BF1711 Ast.
BF1729.P6 Azz.
BF1729.P6 Azz.
BF173 Fre.
BF173 Fre.
BF173 Fre.
BF173 Fre.
BF173 Fre.
BF173 Fre.
BF173 Fre.
BF173 Fre.
BF173 Fre.
BF173 Jun.
BF173 Kle.
BF173 Lac.
BF173 Lap.
BF173 Por.
BF173 Sle.
BF175 For.
BF175 Sed.
BF175.4.C84 Fre.
BF175.4.F45 Ben.
BF175.4.R44 Psy.
BF175.4.S65 Rus.
BF175.5.A35 And.
BF175.5.A72 Pea.
BF175.5.O24 Gom.
BF175.5.O33 Oed.
BF175.5.P75 Her.
BF175.5.S48 Sex.
BF176 Dom.
BF1809 Fes.
BF181 Kan.
BF181 MacL.
BF1812.I88 Nic.
BF1815.L46 Kag.
BF1815.L46 Kag.
BF199 Sta.
BF1999 Lin.
BF201 Gol.
BF201 Gro.
BF201 Gro.
BF201 Rei.
